round_num,n_samples,accuracy,calibration_accuracy,roc_auc,log_loss,brier_score,avg_confidence,model,dataset
19,602,0.7906976744186046,0.7868852459016393,0.8874626107879604,0.4249686355728356,0.1403835561277872,0.5036568164563092,mlp,esta
20,592,0.8277027027027027,0.8211920529801324,0.9044124360847333,0.3929739647420177,0.1262718905602367,0.5050726407703162,mlp,esta
21,582,0.8281786941580757,0.8193979933110368,0.916817231728487,0.3644843644761842,0.11683362067749879,0.5063584150808053,mlp,esta
22,546,0.8351648351648352,0.8303249097472925,0.9234391981644728,0.35325262688958503,0.11381250829001652,0.5085466350101946,mlp,esta
23,502,0.8107569721115537,0.8,0.9132235996254028,0.379021664549636,0.1246263641234707,0.5097979940890588,mlp,esta
24,450,0.8244444444444444,0.8146551724137931,0.9175111111111112,0.3645395811187073,0.1178417282259522,0.5109274114388543,mlp,esta
25,406,0.8325123152709359,0.8169014084507042,0.9212065325535684,0.35655281889787066,0.11152120848441842,0.5127093137428255,mlp,esta
26,350,0.8514285714285714,0.8360655737704918,0.9325387755102041,0.33550377073830095,0.1048316916462578,0.5176712225640413,mlp,esta
27,288,0.8333333333333334,0.8243243243243243,0.9258777006172839,0.35735269849538653,0.11244356466725508,0.5192045777867941,mlp,esta
28,226,0.8628318584070797,0.8416666666666667,0.920353982300885,0.3662945704182245,0.11364852373499965,0.5234003263173475,mlp,esta
29,150,0.8333333333333334,0.8048780487804879,0.9452444444444443,0.35647775115170793,0.10881424773884665,0.5387675216234583,mlp,esta
30,88,0.8863636363636364,0.8541666666666666,0.9772727272727273,0.3148539803301806,0.08645640265629372,0.5422742227061969,mlp,esta
1,12684,0.5810469883317565,0.5810469883317565,0.5875336926285506,0.6797025869891714,0.24331016531862149,0.4997106251242558,logistic_regression,kaggle
2,12684,0.6050141911069064,0.6050141911069064,0.6180199087222275,0.6708554858211102,0.23893584701067982,0.4999025936690204,logistic_regression,kaggle
3,12684,0.6143172500788395,0.6143172500788395,0.6422524954896656,0.6640223817812638,0.23556556216799354,0.4999764447248141,logistic_regression,kaggle
4,12684,0.6346578366445916,0.6346578366445916,0.6725403946061561,0.6475388158194683,0.22778018256932805,0.500067481433313,logistic_regression,kaggle
5,12684,0.6393882056133712,0.6393882056133712,0.688903652334141,0.639079876651563,0.2238084017624712,0.5000780047547632,logistic_regression,kaggle
6,12684,0.6559444970040996,0.6559444970040996,0.7054422539449825,0.6272201782703495,0.2183780051659726,0.500081323420213,logistic_regression,kaggle
7,12684,0.663040050457269,0.663040050457269,0.718057764602559,0.6186929106982929,0.21456442763201655,0.5000786405705375,logistic_regression,kaggle
8,12684,0.6767581204667298,0.6767581204667298,0.731469153747782,0.608421316378687,0.20984960383191018,0.5000802636746043,logistic_regression,kaggle
9,12684,0.6835383159886471,0.6835383159886471,0.7416128066945387,0.6003873274699323,0.20632442167090384,0.500073159073337,logistic_regression,kaggle
10,12684,0.6901608325449385,0.6901608325449385,0.7536847450995953,0.5906437163685121,0.20176945362464127,0.5000706004808528,logistic_regression,kaggle
11,12684,0.695837275307474,0.695837275307474,0.7639166604758653,0.5813648298908516,0.19784635814807286,0.5000664548872094,logistic_regression,kaggle
12,12684,0.7023021128981394,0.7023021128981394,0.7713027589293981,0.5744127388535988,0.19502044297590687,0.5000600500915056,logistic_regression,kaggle
13,12684,0.706086408073163,0.706086408073163,0.778031886555479,0.5677799131906509,0.19222027067632716,0.5000575478775736,logistic_regression,kaggle
14,12684,0.7161778618732261,0.7161778618732261,0.785326913099348,0.5604443942711825,0.18901693300712533,0.5000566642890868,logistic_regression,kaggle
15,12684,0.7150741091138442,0.7150741091138442,0.789442329129655,0.5566993948360983,0.18743554077056912,0.5000790446116385,logistic_regression,kaggle
16,12684,0.7305266477451908,0.7305266477451908,0.8015393042295058,0.5434708312657652,0.18167328646048364,0.4997288074844668,logistic_regression,kaggle
17,12654,0.7341552078394183,0.7341552078394183,0.8074142496168399,0.5370080358418716,0.17890613693636004,0.49986971472994435,logistic_regression,kaggle
18,12494,0.7379542180246519,0.7379542180246519,0.8129121507697794,0.5303929406461506,0.17636335995016483,0.4999292775760001,logistic_regression,kaggle
